,inspection_no,dba_name,aka_name,license_no,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,violations,latitude,longitude,location,rating,business_status
10,2243339,JACKYS HOT DOGS,JACKYS HOT DOGS,3775.0,Restaurant,Risk 1 (High),5415 S PULASKI RD ,CHICAGO,IL,60632.0,12/10/2018,Short Form Complaint,Pass,,41.794560965932575,-87.72305196106626,"(-87.72305196106626, 41.794560965932575)",4.7,OPERATIONAL
11,2117095,JACKYS HOT DOGS,JACKYS HOT DOGS,3775.0,Restaurant,Risk 1 (High),5415 S PULASKI RD ,CHICAGO,IL,60632.0,12/12/2017,Complaint,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED THE REAR #10 CAN OPENER NOT CLEAN, INSTRUCTED TO CLEAN AND SANITIZE. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED PEELING PAINT OVER FRONT STEAM TABLE, INSTRUCTED TO REMOVE/RESEAL. ALSO CLEAN THE WALL VENT ABODE THE FRONT STEAM TABLE.",41.794560965932575,-87.72305196106626,"(-87.72305196106626, 41.794560965932575)",4.7,OPERATIONAL
12,1501530,JACKYS HOT DOGS,JACKYS HOT DOGS,3775.0,Restaurant,Risk 1 (High),5415 S PULASKI RD ,CHICAGO,IL,60632.0,11/05/2014,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED CARDBOARD USED AS SHELF LINER IN WALK IN COOLER AND FREEZER. ALL SURFACES NEED TO BE NON ABSORBANT SMOOTH AND EASILY CLEANABLE. REMOVE CARDBOARD AND MAINTAIN | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED TORN GASKETS ON SMALL REFRIGERATOR IN FRONT COOKING SERVICE AREA. REPAIR GASKETS AND MAINTAIN. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED GASKETS ON SMALL REFRIGERATOR UNCLEAN. CLEAN AND MAINTAIN GASKETS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED SMALL REFRIGERATOR IN FRONT COOKING/SERVICE AREA IN DISREPAIR WITH NOTHING IN REFRIGERATOR. REPAIR OR REMOVE REFRIGERATOR.  | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: OBSERVED SCOOP FOR FRENCH FRIES WITHIN LARGE CONTAINER OF FRIES. INSTRUCTED TO STORE SCOOP OUTSIDE OF FRIES WHEN NOT IN USE.",41.794560965932575,-87.72305196106626,"(-87.72305196106626, 41.794560965932575)",4.7,OPERATIONAL
13,2352379,J'S CORNER HOT DOG,J'S CORNER HOT DOG,81673.0,Restaurant,Risk 2 (Medium),3845 N ELSTON AVE ,CHICAGO,IL,60618.0,11/26/2019,Canvass,Pass w/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: SOME VOMIT AND DIARRHEA CLEAN UP PROCEDURE ITEMS MISSING. INSTRUCTED MANAGER MUST PROVIDE ALL VOMIT AND DIARRHEA CLEAN UP ITEMS AS OUTLINED IN POLICY ON PREMISES. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: STAND UP REACH IN PREP COOLER (TRUE COOLER) MISSING THERMOMETER. MUST PROVIDE WORKING THERMOMETER OR SAID COOLER. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: METAL STEM THERMOMETER NOT CALIBRATED. INSTRUCTED MANAGER MUST CALIBRATE METAL STEM THERMOMETER FOR FOOD HANDLERS. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED.,41.95124734078204,-87.7153661896335,"(-87.7153661896335, 41.95124734078204)",4.4,OPERATIONAL
14,1460211,J'S CORNER HOT DOG,J'S CORNER HOT DOG,81673.0,Restaurant,Risk 2 (Medium),3845 N ELSTON AVE ,CHICAGO,IL,60618.0,10/27/2015,Canvass,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOOR UNDER COOKING EQUIPMENT, REMOVE ALL GREASE SPILLS,   | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST REPAIR LEAKING FAUCET AT THREE COMPARTMENT SINK,   | 45. FOOD HANDLER REQUIREMENTS MET - Comments: NO FOOD HANDLER TRAINING IN ILLINOIS CERTIFICATES AT THIS TIME OF INSPECTION, MUST PROVIDE,  ",41.95124734078204,-87.7153661896335,"(-87.7153661896335, 41.95124734078204)",4.4,OPERATIONAL
15,1098725,J'S CORNER HOT DOG,J'S CORNER HOT DOG,81673.0,Restaurant,Risk 2 (Medium),3845 N ELSTON AVE ,CHICAGO,IL,60618.0,11/27/2012,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: INSTRUCTED TO REPLACE BROKEN CUTTING BOARD. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: EXCESSIVE ICE BUILD-UP ON ALL FREEZERS, INSTRUCTED TO CLEAN/SANITIZE, ALSO MUST CLEAN/SANITIZE CABINETS AT REAR DISH WASHING AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO CLEAN WALLS BEHIND COOKING EQUIPMENT AND COOLERS AT FRONT PREP/COOKING AREA, NOTED DUST BUILD-UP. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST SEAL/REPAINT RUSTY GREASE TRAP UNDER 3PART SINK.",41.95124734078204,-87.7153661896335,"(-87.7153661896335, 41.95124734078204)",4.4,OPERATIONAL
16,1387276,LU-LU'S INC,LU-LU'S INC,3525.0,Restaurant,Risk 1 (High),1000 S LEAVITT ST ,CHICAGO,IL,60612.0,12/02/2013,Canvass,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MUST LABEL SOME COOKED FOOD PRODUCTS INSIDE THE WALK-IN COOLER IN REAR OF PREMISES | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: MUST REMOVE RUST FROM SHELVING RACKS INSIDE THE REAR WALK-IN COOLER | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN THE FAN GUARDS INSIDE THE WALK-IN COOLER IN REAR OF PREMISES,HAS DUST BUILD-UP AND CLEAN THE FILTERS ABOVE THE STOVE IN REAR PREP AREA AND CLEAN BOTTOM COMPARTMENT OF DEEP FRYERS,HAS GREASE BUILD-UP | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  CLEAN THE FLOORS IN THE FRONT AND REAR PREP AREA,ALONG WALL BASE AND CORNERS | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MUST PROVIDE A THERMOMETER INSIDE THE 2 DOOR REACH-IN COOLER IN REAR PREP AREA",41.86895287431267,-87.6815754824568,"(-87.6815754824568, 41.86895287431267)",4.4,OPERATIONAL
17,634849,LU-LU'S INC,LU-LU'S INC,3525.0,Restaurant,Risk 1 (High),1000 S LEAVITT ST ,CHICAGO,IL,60612.0,10/04/2011,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair.    REPLACE COVER FOR TOP OF ICE MACHINE. (ON SITE)  CLEAN EXTERIOR SURFACES OF COOKING EQUIPMENT WHERE NEEDED.",41.86895287431267,-87.6815754824568,"(-87.6815754824568, 41.86895287431267)",4.4,OPERATIONAL
18,1454254,PHIL'S LAST STAND,FATSO'S LAST STAND,2125348.0,Restaurant,Risk 2 (Medium),2258 W CHICAGO AVE ,CHICAGO,IL,60622.0,10/19/2015,Canvass,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: CUTTING BOARDS IN NEED OF REPLACING WHERE WORN WITH DEEP CUTS.  MUST REPLACE AND MAINTAIN AT ALL TIMES.   | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: THE FOLLOWING IN NEED OF CLEANING: ALL COOKING EQUIPMENT, FRYERS, WHEELS ON EQUIPMENT, STORAGE SHELVES.   MUST DETAIL CLEAN TO REMOVE ALL BUILD UP AND MAINTAIN AT ALL TIMES.     | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS UNDER ALL COOKING EQUIPMENT IN NEED OF DETAIL CLEANING TO REMOVE ALL GREASE BUILD UP.  FLOORS IN REAR PREP/STORAGE AREAS IN NEED OF DETAIL CLEANING TO REMOVE ALL FOOD SPILLS AND STANDING WATER.  MUST DETAIL CLEAN AND MAINTAIN AT ALL TIMES.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: WALLS AND CEILING IN REAR STORAGE/PREP AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL FOOD SPILLS AND BUILD UP.  MUST DETAIL CLEAN AND MAINTAIN AT ALL TIMES.   | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: AIR VENTS IN NEED OF DETAIL CLEANING TO REMOVE ALL DUST BUILD UP.  MUST CLEAN AND MAINTAIN AT ALL TIMES.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ANY UNECESSARY CLUTTER IN REAR AREA IN NEED OF REMOVAL AND OR ORGANIZING.  MUST CORRECT AND MAINTAIN AT ALL TIMES.   | 45. FOOD HANDLER REQUIREMENTS MET - Comments: FOOD HANDLER CERTIFICATES NOT ON SITE AT THIS TIME OF INSPECTION.  MUST PROVIDE AT ALL TIMES.  ",41.89589707626824,-87.68427764486724,"(-87.68427764486724, 41.895897076268234)",4.4,OPERATIONAL
19,1300900,PHIL'S LAST STAND,FATSO'S LAST STAND,2125348.0,Restaurant,Risk 2 (Medium),2258 W CHICAGO AVE ,CHICAGO,IL,60622.0,12/12/2012,Short Form Complaint,Pass w/ Conditions,21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: Found No certified food manager on premises when potentially hazardous foods are being served and prepared-hot dogs at 165.0 F. Instructed that a certified food manager must be on premises during all hours of operation. Serious citation issued 7-38-012. 	     | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: Food handlers must have hair restraints when working around open food.,41.89589707626824,-87.68427764486724,"(-87.68427764486724, 41.895897076268234)",4.4,OPERATIONAL
20,659268,PHIL'S LAST STAND,FATSO'S LAST STAND,2125348.0,Restaurant,Risk 2 (Medium),2258 W CHICAGO AVE ,CHICAGO,IL,60622.0,11/09/2011,License,Fail,,41.89589707626824,-87.68427764486724,"(-87.68427764486724, 41.895897076268234)",4.4,OPERATIONAL
21,1442158,GEORGE'S HOT DOG,GEORGE'S HOT DOG,11406.0,Restaurant,Risk 1 (High),1876 N DAMEN AVE ,CHICAGO,IL,60647.0,10/13/2015,Canvass,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED GREASE BUILUP ON VENTILATION HOOD AND FILTERS ABOVE COOKING EQUIPMENT. MUST CLEAN AND MAINTAIN.     FOUND ENCRUSTED PIPES WITH GREASE BUILD-UP BEHIND COOKING EQUIPMENTS.INSTRUCTED TO DETAIL CLEAN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED PEELING PAINT ON WALL BEHIND FRONT PREP REFRIGERATOR. MUST REPAINT AND MAINTAIN. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: OBSERVED WASHROOM DOOR NOT SELF CLOSING. MUST PROVIDE A SELF CLOSING DEVICE. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: OBSERVED ICE SCOOPS STORED INSIDE OF ICE MACHINE. MUST PROPERLY STORE ICE SCOOPS IN A CLEAN CONTAINER TO PREVENT CONTAMINATION.    OBSERVED WIPING CLOTHES STORED ON TOP OF PRE TABLES AND 3-COMPARTMENT SINK IN FOOD PREPARATION AREA. MUST PROPERLY STORE WIPING CLOTHES IN A SANITIZING SOLUTION WHEN NOT IN USE.",41.91595533037147,-87.6777277973711,"(-87.6777277973711, 41.91595533037147)",4.4,OPERATIONAL
